service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_E9-Sunday,0,0,0,0,0,0,1,20190113,20190421
MQ_E9-Weekday-SDon,1,1,1,1,1,0,0,20190114,20190426
MQ_E9-Saturday,0,0,0,0,0,1,0,20190119,20190427
MQ_H9-Weekday,1,1,1,1,1,0,0,20190121,20190419
MV_E9-Sunday,0,0,0,0,0,0,1,20190113,20190421
MV_E9-Weekday-SDon,1,1,1,1,1,0,0,20190114,20190426
MV_E9-Saturday,0,0,0,0,0,1,0,20190119,20190427
MV_E9-Saturday-BM,0,0,0,0,1,0,0,20190118,20190426
MV_H9-Weekday,1,1,1,1,1,0,0,20190121,20190419
OF_E9-Sunday,0,0,0,0,0,0,1,20190113,20190421
OF_E9-Weekday-SDon,1,1,1,1,1,0,0,20190114,20190426
OF_E9-Saturday,0,0,0,0,0,1,0,20190119,20190427
OF_H9-Weekday,1,1,1,1,1,0,0,20190121,20190419
OH_E9-Sunday,0,0,0,0,0,0,1,20190113,20190421
OH_E9-Sunday-BM,0,0,0,0,0,1,0,20190112,20190420
OH_E9-Weekday-SDon,1,1,1,1,1,0,0,20190114,20190426
OH_E9-Weekday-SDon-BM,1,1,1,1,0,0,1,20190113,20190425
OH_E9-Saturday,0,0,0,0,0,1,0,20190119,20190427
OH_E9-Saturday-BM,0,0,0,0,1,0,0,20190118,20190426
OH_H9-Weekday,1,1,1,1,1,0,0,20190121,20190419
OH_H9-Weekday-BM,1,1,1,1,0,0,1,20190120,20190418
